wort,hitler,biden
heavily,4,1
heavy,11,11
heeded,2,1
heel,2,1
heir,2,1
held,69,19
hell,4,56
helmet,3,1
help,67,287
helped,20,50
helpful,2,4
helping,6,51
hero,28,23
heroic,37,4
heroism,12,8
hesitate,4,2
hesitation,8,1
hidden,9,4
hide,2,11
high,53,117
higher,95,52
highest,54,27
highly,18,13
highway,1,47
hill,1,8
hire,1,9
historian,2,5
historic,2,48
historical,36,9
history,142,158
hit,8,45
hitler,1,1
hoarded,1,1
hold,83,47
holder,1,4
holding,26,1
hollow,3,2
holocaust,1,5
holy,3,5
homage,1,1
home,95,296
homeland,2,14
honest,39,15
honestly,6,3
honesty,13,4
hop,1,1
hope,55,86
hoped,21,4
hopeful,1,5
hopelessness,1,1
hoping,5,2
horizon,7,5
horror,12,3
horse,8,1
hospice,1,1
hospital,12,56
hospitality,3,3
host,5,3
hostile,22,2
hot,1,1
hotel,2,8
hour,73,110
house,42,117
household,1,8
housing,2,30
houston,1,3
however,114,5
hub,1,2
huge,9,7
human,209,92
humanitarian,3,15
humanity,41,9
humanly,1,1
humble,4,1
hundred,109,45
hung,7,2
hunger,17,5
hungry,4,3
hunter,1,4
hunting,2,2
hurled,4,2
hurt,1,13
husband,5,30
hypocrisy,6,1
hypocritical,3,2
hypothetical,1,2
hysterical,1,1
i,2,44
ice,1,2
idea,294,70
ideal,157,5
identified,3,4
identify,5,5
identifying,1,1
identity,3,2
idle,3,1
ignorance,15,2
ignore,5,3
ignored,15,6
ii,6,20
iii,2,1
ill,7,1
illegal,3,6
illness,5,12
illusion,14,1
illustrate,3,2
image,9,5
imagine,26,30
immediate,13,19
immediately,37,18
immense,8,5
immigrant,1,5
imminent,2,2
immune,2,1
impact,1,70
impartial,6,1
impassable,1,2
imperative,5,9
imperfect,1,1
implement,1,11
imply,3,1
importance,132,7
important,99,107
impose,10,10
imposed,13,6
imposing,7,3
impossible,79,3
impress,4,1
impression,50,2
impressive,7,4
improve,8,15
improved,3,2
improvement,9,7
improving,3,7
impunity,1,1
inaction,1,5
inadequate,11,1
inalienable,1,4
inaudible,1,2
incident,3,3
incidentally,1,1
incited,3,2
inclination,4,1
include,7,13
included,7,7
includes,6,31
including,9,150
inclusion,1,1
income,1,52
inconsistency,2,2
inconsistent,1,6
incorporate,2,1
incorporated,9,2
increase,56,100
increased,41,15
increasing,33,35
increasingly,4,3
incredible,20,44
incredibly,4,14
incumbent,5,2
incurred,3,7
indeed,97,3
indefinitely,7,2
independence,39,16
independent,29,25
independently,7,2
india,11,15
indian,3,15
indicate,1,3
indicated,8,9
indicates,3,3
indication,4,4
indifferent,12,1
indirectly,8,1
indiscriminately,1,1
individual,284,26
individually,1,1
indivisible,2,1
indulgence,1,1
industrial,14,6
industry,17,31
inequality,1,1
inevitable,20,2
infantry,3,1
infected,7,5
infection,7,3
inflation,3,32
inflection,1,23
inflict,1,2
influence,103,4
information,17,13
informed,14,5
infringement,1,1
ingenuity,1,1
inherent,11,2
inherited,2,5
inhumane,1,2
initial,3,6
initiated,3,2
initiative,8,36
injected,3,1
injured,3,11
injury,2,6
injustice,5,5
innocent,8,20
innovation,3,6
inserted,2,3
inside,2,8
insist,5,1
insisted,1,1
insisting,8,1
inspiration,8,2
inspire,7,6
inspired,29,3
inspires,1,2
installed,4,1
instance,39,1
instead,50,45
instigated,1,1
instinct,87,4
institute,2,6
instituting,2,1
institution,99,27
instructed,4,5
instruction,23,1
intact,5,1
integral,5,1
integrity,6,11
intellect,15,3
intellectual,116,1
intellectually,6,1
intelligence,40,11
intend,4,5
intended,13,4
intends,1,1
intense,2,7
intensity,1,2
intensive,8,6
intensively,1,1
intention,46,7
intentional,1,1
interest,215,45
interested,12,2
interesting,4,4
interference,3,3
interfering,2,1
interior,4,4
intermediate,2,1
intermingled,2,1
international,72,50
internationally,1,6
interrupted,2,3
interruption,5,1
intervention,6,6
intimidated,1,2
intimidation,6,5
intolerable,5,1
introduce,9,5
introduced,23,12
introduction,5,10
invaluable,1,1
invasion,7,4
invent,1,1
invented,1,1
invest,1,75
invested,7,32
investigate,7,1
investigation,3,4
investing,1,46
invitation,6,1
invite,1,2
invited,3,4
involved,10,13
involves,1,1
involving,1,1
ireland,1,2
iron,16,4
irreplaceable,4,1
irresponsibility,1,1
irresponsible,5,2
is,1,1
island,1,10
isolated,8,1
isolation,1,1
israel,1,24
issue,19,90
issued,2,9
issuing,1,1
italian,14,1
italy,34,4
item,2,5
j,1,6
january,8,26
japan,12,7
japanese,13,1
jeopardy,1,2
jew,325,4
jewish,142,5
job,17,424
join,31,19
joined,18,14
joining,5,19
joint,1,14
joke,3,57
joseph,4,3
journal,1,8
journalist,4,6
journey,2,12
joy,10,2
judge,16,32
judged,15,1
judgment,26,13
july,5,14
jumped,1,2
juncture,8,1
jurist,1,2
justice,32,81
justification,17,2
justify,6,3
justly,3,2
k,1,1
kaiser,5,1
keen,3,1
keep,40,203
keeping,13,32
keller,1,1
ken,1,2
kept,26,16
key,5,41
kick,2,3
kill,1,4
killed,5,35
kind,182,53
king,8,27
kingdom,1,8
kissed,1,1
knew,36,31
knock,3,5
knocked,1,5
knocking,1,3
know,119,616
knowing,9,19
knowledge,97,7
known,25,43
lack,99,3
lackey,4,1
ladder,3,4
lag,2,2
laid,35,20
land,21,32
landed,1,3
landlord,1,1
language,63,4
large,61,27
largely,6,2
larger,23,10
largest,8,64
last,139,239
lasting,7,2
late,15,22
later,110,32
latest,3,4
latin,3,4
latter,57,1
laugh,7,1
laughed,3,1
laughing,3,4
launch,3,16
launched,5,8
law,92,223
lawyer,2,13
lay,49,11
layer,2,1
laying,3,14
layman,1,1
le,128,77
lead,81,76
leader,166,137
leadership,34,53
leading,24,70
leaf,10,8
league,38,4
lean,1,2
learn,29,14
learned,46,23
learning,19,12
learns,7,1
least,130,44
leave,35,59
leaving,14,22
led,66,50
left,90,68
leg,1,3
legal,5,9
legally,1,3
legend,2,1
legendary,1,1
legislate,1,1
legislation,7,55
legislative,8,3
legitimate,2,12
length,4,3
lessen,3,1
lessening,1,1
lesser,4,2
lesson,32,3
let,45,287
letter,12,15
level,73,32
levelheaded,1,1
levy,1,3
liberal,7,5
liberation,8,1
liberty,31,19
library,1,1
lick,1,1
lie,73,32
life,313,223
lifeline,1,1
lifetime,2,7
lift,5,17
lifted,1,1
lifting,2,1
light,54,18
like,113,377
liked,8,1
likely,10,24
likewise,3,1
limb,3,1
limit,22,47
limitation,3,3
limited,29,4
limiting,1,6
line,75,124
lined,2,1
link,2,2
lip,1,3
list,5,9
listed,1,5
listen,9,10
listened,6,2
listening,1,3
listens,1,1
literally,1,63
little,121,113
live,45,64
lived,22,26
livelihood,20,4
living,37,48
load,1,1
loan,3,10
local,14,37
locality,5,1
locate,2,1
lock,1,3
locked,1,3
logical,28,1
lone,1,2
long,185,174
longer,102,44
longstanding,1,6
look,73,414
looked,88,28
looking,13,67
lord,11,4
lose,20,23
losing,14,28
loss,25,32
lost,71,84
lot,23,307
loud,1,1
louder,1,1
loudest,1,1
loudly,1,2
love,41,51
loved,6,32
lovely,1,5
lover,1,1
loving,1,1
low,13,32
lower,36,67
lowered,4,2
lowering,2,10
lowest,8,11
loyal,12,2
loyalty,12,2
luck,8,3
luckily,1,1
lucky,4,4
lung,1,1
lurking,2,1
luther,1,5
lying,13,5
machine,5,7
mad,2,4
made,288,237
madness,6,1
magnificent,16,2
main,28,5
mainly,13,1
maintain,33,16
maintained,21,3
maintaining,12,3
majesty,7,1
major,3,106
majority,80,50
make,257,538
maker,1,3
making,61,222
man,264,66
manage,2,6
managed,6,4
management,8,11
managing,1,3
mandate,2,13
manifest,24,1
mankind,48,1
manner,66,1
mantle,1,1
manufacture,1,7
manufactured,1,2
manufacturer,1,12
manufacturing,1,23
many,190,275
map,2,3
mapping,1,1
marathon,1,1
marble,1,1
march,25,19
marched,6,4
marching,4,2
maria,1,1
mark,15,12
marked,7,3
market,7,39
marriage,19,6
married,3,7
marry,1,1
martin,2,8
mask,6,31
masking,1,11
mass,287,7
master,59,4
mate,9,2
material,63,16
matter,168,120
max,2,1
maximum,3,5
may,411,132
maybe,2,41
mayor,2,46
meal,4,11
mean,301,312
meaning,44,6
meant,58,19
meantime,2,22
meanwhile,8,2
measure,102,37
measured,6,1
mechanically,6,1
mechanism,7,2
medal,1,11
medical,5,24
medicine,1,12
medieval,2,1
mediterranean,2,1
medium,8,8
meet,23,64
meeting,211,53
member,172,115
memorandum,1,2
memorial,2,13
memory,35,12
men,279,53
menaced,1,1
menacing,1,1
mental,41,23
mentally,8,2
mention,7,10
mentioned,30,12
merciless,3,1
mercy,4,6
mere,50,3
merely,108,1
merit,11,1
mess,1,4
message,8,34
met,12,58
meter,1,2
method,67,1
mexico,1,5
middle,21,122
midst,9,8
might,213,32
mighty,12,1
military,132,108
milk,2,1
million,87,335
mind,153,35
mine,5,19
minimum,3,21
minister,11,22
ministerial,2,1
minority,7,15
minute,19,20
miracle,8,1
miraculous,1,1
misleading,1,1
miss,1,5
missed,3,4
missing,2,6
mission,39,51
mistake,46,13
mistaken,13,4
misunderstand,1,1
misunderstanding,3,3
mix,4,2
mob,14,9
mode,6,2
moderate,5,7
modern,27,13
modest,14,2
moment,132,110
momentous,4,1
momentum,1,5
monarch,26,2
monday,1,9
money,27,101
monopoly,4,1
month,24,239
monument,8,13
monumental,3,2
moon,4,3
moral,83,12
moreover,38,1
morning,22,35
mortar,3,1
moscow,1,4
mostly,20,5
mother,25,34
motion,5,3
motive,6,2
motor,1,6
mountain,2,7
mounting,1,1
mouse,5,1
move,13,108
moved,16,40
movement,558,18
mover,1,5
much,166,249
multiple,1,9
multiply,4,1
munich,70,1
murdered,1,5
murderer,1,2
muscular,1,1
must,698,87
mutual,33,5
n,12,1
naked,2,5
name,58,44
named,2,16
narrow,10,3
nation,576,347
national,484,93
nationality,44,1
native,16,20
natural,76,9
nature,141,12
naval,12,2
navy,9,2
nd,2,4
near,7,22
nearest,3,1
nearly,26,83
necessarily,26,1
necessary,232,23
necessity,56,3
neck,5,3
need,84,389
needed,26,47
needle,1,2
negative,16,7
negotiate,1,26
negotiating,2,4
negotiation,5,15
negro,14,2
nervous,5,1
nest,1,1
net,3,10
never,273,187
new,362,380
newly,7,2
news,9,39
newspaper,43,2
next,23,140
nicely,1,1
night,19,41
nightly,1,1
nightmare,1,2
nine,5,13
noble,11,2
nobody,52,19
noise,2,1
none,16,35
noon,1,1
normal,6,6
north,14,13
northern,4,4
note,6,8
noted,5,2
nothing,149,76
notice,14,9
noticed,5,7
noting,1,2
notion,41,8
november,41,7
nuisance,2,2
number,125,201
numbered,3,3
numerous,10,2
nurse,1,19
nursing,1,12
oath,1,9
obey,7,1
object,47,3
objective,53,6
obligation,29,40
observe,11,4
observed,14,4
obstacle,18,5
obstruct,1,2
obstruction,1,4
obtained,16,1
obvious,33,9
obviously,10,4
occasion,46,4
occasionally,9,1
occupation,16,2
occupied,12,5
occupy,6,3
occur,3,7
occurred,6,13
occurring,1,4
october,11,13
of,1,2
offensive,24,2
offer,28,16
offering,6,2
office,30,98
officer,21,71
official,79,33
officially,2,2
officiating,1,1
often,136,24
oh,2,28
old,175,65
older,7,17
oldest,1,1
one,868,735
onethird,1,1
oneyear,1,2
onslaught,7,3
onto,1,9
onward,3,1
open,50,59
opened,14,7
opening,4,8
openly,28,2
operate,4,7
operates,2,1
operating,4,7
operation,13,39
opinion,136,5
opportunity,31,85
oppose,23,5
opposed,40,5
opposes,4,1
opposing,7,1
opposite,20,5
opposition,38,4
oppression,21,5
order,211,51
ordered,9,11
orderly,2,1
ordinary,17,18
organization,1,33
organized,1,6
original,45,3
originally,13,1
others,104,69
otherwise,47,3
ought,98,5
out,1,5
outcome,27,7
outer,6,1
outlet,3,3
outline,5,2
outnumbered,1,2
outpouring,1,2
output,3,1
outrage,6,1
outraged,1,1
outrageously,1,1
outset,16,4
outside,38,23
outspoken,3,1
outstanding,16,7
outward,17,1
overcome,35,4
overlooked,4,1
overnight,1,3
overrule,1,1
overturned,1,4
overturning,1,3
overwhelmed,3,2
overwhelming,10,13
overwhelmingly,1,10
owe,10,37
owed,5,4
owes,13,4
owned,1,4
owner,1,2
ownership,2,2
pace,4,18
pacific,1,7
packing,1,1
pact,3,2
page,4,8
paid,19,83
pain,9,24
painful,1,8
painfully,1,2
paint,1,3
painted,2,1
painting,13,1
pair,2,1
palsy,1,1
pan,4,1
paper,33,5
par,1,1
parade,6,1
parallel,1,1
paralysis,5,1
paramount,5,1
parent,15,123
paris,9,11
parish,7,6
parliament,54,1
part,221,149
participant,1,1
participate,11,2
participating,5,4
participation,3,2
particular,59,10
particularly,47,30
partisan,2,12
partner,4,75
party,401,37
pas,14,83
pass,2,2
passage,3,5
passed,39,87
passing,10,14
passion,11,6
passionately,1,1
past,85,90
pastor,3,1
path,12,34
patience,5,8
patient,4,27
patriot,8,12
patriotic,16,3
patriotism,13,2
patrol,2,4
pattern,2,4
paul,1,6
pause,2,8
paved,1,1
pay,28,210
paying,4,91
payment,6,8
peace,67,32
peaceful,16,7
peacefully,4,4
peak,4,4
pearl,1,1
pen,5,14
penalty,4,6
penny,6,36
pension,4,3
people,985,1015
per,11,40
percent,1,8
percentage,2,11
perfect,5,8
perfection,4,1
perfectly,8,1
perform,7,4
performed,7,2
performing,5,1
perhaps,27,4
peril,7,2
period,79,27
permanent,16,7
permanently,11,4
permission,2,6
permit,11,1
pernicious,8,2
perpetrated,1,1
perpetuate,1,1
persecution,10,1
perseverance,11,1
persian,1,1
person,124,55
personal,66,32
personally,20,12
personnel,4,19
persuasive,3,1
peter,3,4
petition,1,1
phase,13,3
philanthropist,1,1
phrase,18,11
physical,62,21
physically,16,5
picked,1,3
picture,36,6
pie,1,2
piece,30,58
pill,1,19
pillar,10,1
pillow,1,3
pilot,1,2
pinning,1,1
pitched,1,2
pivot,2,1
place,210,145
placed,28,4
placing,7,3
plain,2,3
plainly,2,2
plan,44,252
plane,9,12
planet,8,10
planned,4,6
plant,2,9
platform,6,1
play,46,19
played,24,6
player,1,6
playground,1,1
playing,10,10
please,3,56
pleased,12,15
pleasure,6,2
pledge,4,15
plenty,3,5
plot,1,3
plunged,2,1
pocket,3,16
poet,2,6
point,138,124
pointed,8,18
pointing,1,4
poison,31,3
poisoned,3,1
poisoning,10,1
poisonous,10,4
poland,4,2
pole,5,1
police,23,65
policeman,1,1
policy,292,42
polite,2,1
political,423,35
politically,12,5
politician,32,4
politics,51,20
poll,1,12
polluted,1,1
pollution,4,9
ponder,4,2
poor,28,16
poorer,3,1
popular,31,8
population,78,15
port,2,59
portal,1,6
portion,18,9
portrait,1,1
pose,3,5
posed,1,4
position,155,55
positive,25,11
positively,5,3
posse,45,3
possessing,6,1
possession,20,1
possibility,51,25
possible,227,52
possibly,14,5
post,13,8
potential,1,22
pour,2,1
poverty,9,20
power,296,157
powerful,19,19
practical,111,3
practice,58,15
praise,10,4
pray,5,9
prayer,4,5
preach,1,1
preaching,5,1
precaution,3,2
precious,8,3
precise,12,5
precisely,10,4
precision,1,4
predecessor,2,20
predicted,1,3
prefer,4,1
preferred,11,1
pregnancy,1,2
pregnant,1,1
prejudice,12,4
prematurely,3,1
preoccupied,2,1
preparation,16,4
prepare,14,19
prepared,26,27
preparing,11,5
prescription,2,43
presence,12,5
present,191,14
presentation,3,1
presenting,7,1
preservation,48,1
preserve,36,9
preserved,16,1
preserving,12,4
president,7,339
press,100,38
pressure,10,22
presumptuous,1,2
pretend,10,1
pretending,2,1
pretext,4,3
pretty,1,12
prevail,16,2
prevailed,4,2
prevailing,11,11
prevails,2,2
prevent,47,36
prevented,11,3
preventing,6,3
prevention,2,7
previous,10,16
previously,20,6
prey,15,1
price,3,132
pride,18,27
priest,10,2
primarily,10,2
primary,15,8
prime,1,18
prince,17,1
principal,17,3
principle,267,23
print,4,2
prior,1,7
priority,2,12
prison,5,7
prisoner,1,2
private,17,57
privately,1,2
privilege,10,8
pro,6,7
probably,31,18
problem,190,62
proceed,3,1
proceeding,13,1
proceeds,1,1
process,92,58
proclaim,10,1
proclamation,1,5
produce,26,18
produced,24,4
producer,1,3
producing,8,6
product,43,42
production,22,23
productive,11,12
productivity,3,3
profession,20,2
professional,12,15
professor,18,5
profit,6,19
profitable,6,4
profiteer,5,1
profound,53,22
progress,59,114
progressive,10,8
prohibition,2,1
project,8,28
promise,14,86
promised,6,19
promising,3,5
promote,18,9
promoting,8,4
promotion,4,2
promptly,3,1
pronounced,9,1
proof,42,8
propaganda,166,2
proper,12,1
properly,11,3
property,12,8
proportion,16,3
proposal,9,25
propose,1,10
proposed,5,20
prospect,23,4
prosper,3,1
prosperity,11,7
protect,15,145
protected,17,21
protecting,3,27
protection,31,40
protective,5,2
protector,3,2
protects,3,5
protest,27,2
protocol,1,2
proud,12,51
proudly,1,3
prove,45,7
proved,63,1
proverbial,6,1
provide,20,99
provided,23,29
provides,8,9
providing,10,36
province,17,1
provision,6,4
provocation,7,4
psyche,1,1
psychological,23,1
psychologist,2,2
public,245,101
publicly,8,3
pull,2,15
pulled,3,5
pulling,1,4
pump,2,12
purchase,2,5
purchasing,1,2
pure,18,2
purely,44,1
purpose,193,16
pursue,12,8
pursued,14,3
pursues,4,2
pursuing,4,2
pursuit,4,5
push,9,12
pushed,8,5
pushing,4,9
put,132,144
putting,23,30
q,1,2
qualification,7,4
qualified,6,8
qualify,2,6
quality,82,29
quantum,1,2
quarter,34,17
queen,4,6
question,243,100
queue,3,1
quick,3,7
quicker,2,1
quickly,29,36
quiet,5,2
quit,1,2
quite,125,23
quote,2,49
race,219,26
racial,132,8
radical,18,3
rag,3,1
rage,10,2
raged,2,2
raging,3,4
raid,1,2
rail,1,47
railroad,1,16
railway,5,1
rain,2,17
raise,24,77
raised,28,22
raising,4,28
rallied,2,4
rally,7,4
rallying,3,4
rampant,1,1
ran,3,39
range,1,32
rank,47,16
ranked,4,13
rapid,8,9
rapidly,16,17
rare,16,9
rate,3,97
rather,194,19
ration,2,3
rational,3,7
raving,1,1
raw,3,1
ray,4,2
rd,2,9
reach,34,40
reached,38,15
reaching,7,3
react,1,2
reacted,2,1
reaction,7,1
reactionary,4,1
read,53,27
readily,21,1
readiness,15,1
reading,24,3
ready,64,40
real,123,124
realistic,3,4
reality,73,14
really,97,153
rear,9,1
reason,230,104
reasonable,7,2
reasoned,2,1
reawakening,4,1
recall,10,4
receive,12,13
received,51,14
receiving,3,4
recent,6,17
recently,5,14
recipient,2,5
recognition,29,5
recommend,4,1
recommendation,2,4
recommended,7,5
reconciliation,1,5
record,3,74
recorded,1,4
recover,3,16
recovered,3,1
recovering,1,1
recovery,6,53
recruit,16,1
red,50,24
redeem,1,1
reduce,2,64
reduced,7,14
reduces,1,1
reducing,3,19
reelect,1,1
reference,3,1
referred,2,3
referring,6,5
reflect,5,2
reflected,7,2
reflecting,1,1
reform,17,10
reformer,4,1
refrain,15,2
refusal,15,5
refuse,12,9
refused,15,8
refusing,4,7
regain,4,2
regard,105,15
regarding,11,2
regardless,6,6
regime,37,1
region,13,32
regional,3,6
register,2,4
regret,6,4
regular,3,7
regularly,5,1
regulation,4,1
reign,5,2
reinforce,9,3
reinforcement,4,1
reject,9,5
rejected,12,4
rejoined,1,3
relate,2,3
related,1,8
relates,1,8
relation,42,7
relationship,6,11
relative,4,16
relatively,7,5
release,2,10
relentless,1,3
reliable,4,2
reliance,1,2
relief,6,17
relies,1,2
religion,37,4
religious,84,6
reluctant,1,5
rely,1,4
remain,64,22
remained,52,3
remaining,5,7
remains,28,15
remark,12,5
remarkable,5,3
remember,27,103
remembered,15,3
remembering,4,1
remembrance,1,2
remind,6,13
reminded,3,6
reminder,1,7
removal,4,1
remove,6,5
removing,7,3
rendered,28,1
renewed,5,4
rent,1,7
reopening,1,2
repair,5,11
repay,1,2
repeat,10,8
repeated,19,3
repeatedly,5,6
repeating,4,3
repetition,6,2
replace,6,6
replacement,1,2
replacing,1,12
report,10,33
reported,3,10
reporter,1,5
represent,15,8
representation,7,1
representative,75,30
represented,26,7
representing,8,9
represents,22,6
repression,2,2
republic,52,6
republican,8,140
reputation,4,2
request,3,10
requested,2,4
require,4,40
required,9,18
requirement,3,73
requires,3,13
rescue,2,61
rescued,2,1
resentment,2,3
reserve,11,28
reserved,4,2
reservoir,1,3
reshape,1,1
residence,4,2
residential,5,4
resigned,1,1
resistance,74,2
resisted,1,1
resisting,3,1
resolute,12,2
resolution,12,5
resolve,4,8
resolved,4,5
resort,6,2
resource,16,41
respect,41,49
respected,4,3
respond,1,37
responded,1,3
response,6,44
responsibility,73,30
responsible,55,17
responsive,1,2
rest,47,69
restaurant,5,16
rested,3,1
restless,4,2
restoration,15,5
restore,13,24
restored,10,3
restores,1,1
restoring,5,6
restrict,4,1
restriction,4,6
result,246,48
resulted,27,3
resume,7,3
retail,1,1
retain,13,6
retained,8,2
retired,4,3
retreat,3,2
retribution,8,2
return,21,24
returned,15,2
returning,2,1
revenge,4,2
revenue,1,7
reverence,1,1
reverend,1,1
reverse,12,1
review,2,9
reviewed,1,2
revision,2,2
revolution,122,2
revolutionary,41,1
reward,9,4
rhetoric,2,1
rhyme,1,2
rich,5,3
richard,1,6
richer,1,2
rid,4,8
rider,1,3
ridiculous,25,5
rifle,6,1
right,222,436
righteous,3,2
rightly,10,1
rigid,8,1
rigorous,4,4
riot,3,2
rioter,1,2
rise,35,18
rising,7,28
risk,27,85
risked,2,5
risking,1,3
river,4,12
road,34,94
rob,2,2
robs,1,2
robust,8,3
rock,4,6
rogue,6,1
role,13,16
rome,7,3
room,21,88
root,19,3
rooted,2,4
rooting,2,1
rose,1,3
rough,5,3
roughly,2,9
round,20,3
route,9,5
row,3,2
royal,7,1
rubber,1,1
ruin,27,4
rule,32,44
run,43,27
running,3,34
rural,1,14
rush,3,8
rushed,3,1
russia,60,73
russian,24,32
s,3,13
sacred,34,33
sacrifice,84,8
sacrificed,17,8
sacrificing,4,1
sad,4,3
sadly,2,5
safe,4,76
safeguard,17,4
safeguarding,5,1
safely,4,13
safer,1,25
safety,3,40
said,73,391
sailor,1,1
sake,31,11
salary,6,15
sanction,4,26
sanctioned,2,2
sang,1,1
sarcastic,1,1
sat,4,11
satchel,1,2
satisfaction,10,1
save,19,64
saved,16,7
saving,8,38
saw,38,54
say,115,345
saying,18,80
scale,30,9
scar,1,2
scattered,2,1
scene,11,4
scheduled,1,1
scheme,9,1
scholar,1,1
school,77,241
science,20,28
scientific,20,10
scientist,2,26
scope,8,2
scorching,1,1
score,1,5
scorn,5,1
scourge,16,1
scream,2,1
screening,1,4
screw,1,1
scrutiny,2,1
sculpture,1,1
sea,9,10
seaboard,1,1
search,5,15
searched,1,1
searching,2,1
seat,13,8
seated,1,5
second,76,102
secondary,13,1
secondly,15,4
secret,33,11
secretary,6,70
section,65,2
secure,23,16
secured,20,7
securing,17,1
security,19,88
see,106,279
seed,8,1
seeing,22,55
seek,14,20
seeking,5,16
seem,16,9
seemed,84,1
seems,38,12
seen,29,80
seize,2,4
seized,5,1
seldom,10,1
select,12,1
selected,10,1
self,14,5
selfdetermination,1,2
selfevident,1,4
selfinterest,2,5
selfseeking,1,1
sell,3,11
selling,2,4
semblance,3,2
senate,3,104
send,6,43
sending,1,7
sense,86,31
sensitive,2,1
sent,23,13
sentence,8,2
sentimental,5,1
separate,7,6
separated,4,2
separating,2,1
separation,1,1
separatist,6,1
september,6,24
serf,9,4
series,14,5
serious,42,47
seriously,25,9
seriousness,3,1
servant,20,3
serve,81,30
served,25,35
service,113,134
serving,10,15
session,4,5
set,83,52
setback,2,1
setting,8,12
settle,8,3
settlement,10,2
seven,19,41
several,45,33
severe,9,23
severely,1,1
sex,1,1
sexual,6,3
shade,1,1
shadow,3,6
shake,6,2
shall,71,7
shame,7,1
shape,20,12
shaped,5,2
shaping,4,1
share,18,83
shared,3,26
sharp,5,1
sharpest,1,3
sharply,4,1
shattered,5,2
shattering,1,1
sheer,22,1
sheet,1,2
shell,7,1
shelter,1,15
shield,4,2
shift,1,7
shine,3,1
shining,2,3
ship,6,14
shoot,5,3
shooting,3,4
shop,5,1
shore,1,6
short,42,16
shortage,1,5
shorten,1,2
shortly,2,12
shot,4,149
shoulder,19,10
shouldered,1,1
shout,10,2
shouting,5,1
show,81,66
showed,35,11
showing,2,13
shown,30,8
shrapnel,3,1
shut,5,13
sick,1,13
side,104,35
sided,3,2
siege,1,1
sigh,1,2
sight,19,5
sign,39,52
signal,8,2
signed,3,31
significant,9,96
signing,1,20
silence,22,11
silent,8,3
silly,3,1
silver,3,3
similar,49,9
similarly,5,1
simple,31,43
simply,46,25
simultaneous,1,1
sin,18,1
since,135,123
sincere,8,1
sincerely,6,20
sing,3,1
singer,1,1
single,40,123
singular,2,1
sinister,6,2
sink,3,2
sir,1,4
sister,2,25
sit,4,25
sitting,6,33
situation,102,35
six,21,49
sixty,9,4
size,19,13
skill,9,13
slaughter,1,1
slaughtered,1,1
slave,16,2
slavery,8,1
sledgehammer,2,3
sleep,7,5
sleeping,1,1
slide,2,5
slight,13,1
slightly,1,3
slipped,2,1
slow,20,8
slowly,41,1
sluggish,1,1
small,121,60
smaller,21,3
smile,3,2
smiled,1,1
smith,1,1
smoke,1,6
smoothly,1,2
smothered,3,1
snow,2,2
snowstorm,1,1
soandso,1,1
soaring,1,1
socalled,101,8
social,191,26
socialism,14,1
socialist,154,1
society,27,14
soft,1,2
soil,28,1
sold,6,6
soldier,93,14
solemn,9,2
solid,18,4
solidarity,18,4
solution,30,18
solve,10,14
solved,9,2
solving,3,3
somebody,7,15
somehow,5,7
someone,6,59
something,90,111
sometimes,30,23
somewhat,19,1
somewhere,6,11
son,18,61
song,8,1
soon,68,23
sooner,22,6
sorely,1,1
sorrow,2,1
sorry,4,19
sort,26,11
sought,5,8
soul,31,30
sound,45,15
sounding,2,3
soundly,1,1
source,41,11
south,35,36
southern,6,6
sovereign,27,5
sovereignty,12,5
soviet,6,1
space,16,16
spade,2,1
spain,3,2
span,2,2
speak,51,53
speaker,27,11
speaking,47,16
special,41,23
specially,10,1
specific,4,13
specifically,2,8
speech,44,15
speed,7,45
spend,3,11
spending,1,19
spends,2,6
spent,11,40
sphere,65,1
spine,1,6
spirit,158,6
spite,19,2
split,5,3
spoke,21,32
spoken,23,24
spokesman,1,1
sponsor,1,2
spontaneously,1,1
sport,7,3
spot,7,4
spread,30,33
spreading,12,2
spring,24,5
squad,9,7
square,9,6
squarely,1,1
squeeze,2,3
st,2,75
stability,12,14
stable,4,2
stadium,1,3
staff,5,52
stage,38,12
stagnation,1,1
stain,2,2
stained,2,1
stair,2,4
stake,7,20
stamped,3,2
stand,71,109
standard,23,24
standing,12,49
standpoint,44,2
standstill,1,1
star,5,5
stark,1,3
start,24,70
started,14,52
starting,2,31
starvation,3,1
state,884,632
stated,10,3
statement,29,7
statesman,46,1
station,5,31
stationed,3,2
status,7,7
statute,2,1
staving,1,1
stay,3,64
steadfast,2,3
steady,18,6
steal,6,5
steel,9,15
steer,1,1
stem,1,2
step,51,98
stick,6,5
stigma,1,2
still,165,172
stimulate,4,1
stimulus,7,2
sting,1,1
stock,43,10
stolen,2,3
stood,25,27
stop,18,84
stopped,3,21
store,9,27
storm,55,51
stormed,5,2
story,8,47
straight,3,18
straightforward,2,6
strain,4,7
strait,2,4
strange,7,3
stranger,5,2
strategically,1,2
strategy,2,14
stream,2,2
street,28,46
strength,125,24
strengthen,11,17
strengthened,11,2
strengthening,10,11
strengthens,1,2
stress,5,7
stressed,1,1
stretch,3,2
strict,3,2
strictest,1,2
strictly,4,1
strife,11,2
strike,30,14
string,1,5
strive,12,5
strives,7,2
strong,45,49
stronger,38,51
strongest,15,8
strongly,10,8
struck,9,8
structure,47,3
struggle,257,19
